Word, Sadness, Joy, Love, Anger, Fear, Surprise
feeling,32692,32840,8257,15369,14193,4105
amorous,0,5,117,0,0,0
exactly,232,378,95,140,109,48
imagery,8,9,4,1,1,4
would,4023,4812,1369,2025,1703,533
choose,175,259,50,95,55,19
invoke,2,7,5,2,0,0
describe,129,185,66,52,51,30
hormonal,25,5,7,9,8,2
urges,13,7,6,13,5,1
completely,1132,715,144,314,319,156
understand,638,639,231,329,288,66
d,390,427,134,203,139,58
feel,67301,82193,19458,30087,24647,8025
disillusioned,759,3,2,6,3,0
positive,178,1482,41,59,72,10
change,465,564,143,247,259,57
rhode,3,1,0,0,0,0
island,36,40,8,8,7,3
impatient,25,18,5,1126,17,5
hear,416,529,193,270,188,77
people,3763,4659,1367,2446,1660,576
call,399,448,132,235,180,52
tragedy,26,13,7,13,11,3
grateful,186,464,117,81,58,40
hangnail,0,0,0,1,0,0
tragic,666,15,4,6,4,2
know,5697,5792,1671,2736,2428,708
better,1013,2311,237,394,296,88
worse,312,108,31,108,53,11
safe,68,1333,62,30,76,15
comment,115,253,47,116,40,9
keep,924,1148,252,463,381,105
hearing,91,105,39,53,50,23
oh,267,367,79,140,73,41
well,1162,2945,408,528,489,158
love,2044,4237,1904,866,703,326
god,802,1159,431,327,299,116
wouldnt,329,291,84,192,133,56
lonely,1462,78,47,95,85,8
without,1556,1085,298,696,593,143
husband,309,340,168,159,108,30
hate,1239,486,159,649,395,52
useless,1258,52,9,36,28,3
helpless,1169,19,10,56,1055,6
often,940,675,182,424,397,97
spiritually,53,41,1,9,17,3
jaded,940,7,0,9,2,1
especially,601,839,258,323,294,63
college,172,220,55,55,72,19
hustling,2,0,0,0,0,0
class,498,713,106,217,205,62
water,211,325,85,110,94,31
food,411,581,104,188,120,55
one,3482,4550,1315,1695,1311,487
activity,53,62,10,11,31,2
next,705,1061,200,313,348,111
meeting,132,207,48,64,87,19
new,948,1919,364,411,566,168
basically,132,95,26,46,29,8
challenging,24,51,12,9,10,2
academically,7,10,4,0,0,0
socially,69,101,15,6,16,4
m,2756,3533,781,1470,1355,406
incurably,1,0,0,0,0,0
shy,54,55,5,26,1086,7
almost,808,805,203,419,333,128
heartbroken,1035,11,3,2,8,5
enjoy,325,810,179,191,123,49
gossip,16,12,5,8,2,3
return,180,236,78,51,62,12
long,1121,1343,402,445,389,155
trip,163,260,39,81,74,26
re,404,711,174,265,182,55
invigorated,4,1021,1,2,0,0
things,2967,3376,714,1654,1293,390
disturbed,1043,16,4,15,15,5
thanks,86,182,38,31,24,8
psychopath,6,4,0,0,1,0
fake,1051,37,8,43,24,3
story,347,536,147,189,140,74
read,775,1076,240,446,350,175
